no,pembelian,kategori,tanggal,jumlah,total,tahun,bulan,nama_bulan,hari,hari_dalam_minggu,jam,is_weekend,harga_per_tiket,volume_penjualan,cluster
1,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-05-05 11:15:00,13,325000,2025,5,May,5,Monday,11,0,25000.0,Tinggi,1
2,TIKET MANCANEGARA,Mancanegara,2025-05-05 10:28:00,1,20000,2025,5,May,5,Monday,10,0,20000.0,Sangat Rendah,1
3,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-05-05 10:00:00,1,25000,2025,5,May,5,Monday,10,0,25000.0,Sangat Rendah,1
4,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-05-05 09:57:00,7,175000,2025,5,May,5,Monday,9,0,25000.0,Sedang,1
5,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-05-04 11:21:00,4,100000,2025,5,May,4,Sunday,11,1,25000.0,Rendah,0
6,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-05-04 11:10:00,7,175000,2025,5,May,4,Sunday,11,1,25000.0,Sedang,0
7,TIKET WISATAWAN UMUM,Umum,2025-05-04 11:10:00,2,30000,2025,5,May,4,Sunday,11,1,15000.0,Sangat Rendah,0
8,TIKET PELAJAR & MAHASISWA,Pelajar,2025-05-04 11:10:00,5,50000,2025,5,May,4,Sunday,11,1,10000.0,Rendah,0
9,TIKET WISATAWAN UMUM,Umum,2025-05-04 10:59:00,10,150000,2025,5,May,4,Sunday,10,1,15000.0,Sedang,0
10,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-05-04 10:55:00,10,250000,2025,5,May,4,Sunday,10,1,25000.0,Sedang,0
11,TIKET PELAJAR & MAHASISWA,Pelajar,2025-05-04 10:31:00,7,70000,2025,5,May,4,Sunday,10,1,10000.0,Sedang,0
12,TIKET MASUK DALEM AGUNG PAKUNGWATI,Umum,2025-05-04 10:31:00,7,70000,2025,5,May,4,Sunday,10,1,10000.0,Sedang,0
13,TERUSAN III ( Free-Pass III ),TERUSAN,2025-05-04 10:23:00,4,100000,2025,5,May,4,Sunday,10,1,25000.0,Rendah,0
14,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-05-04 10:14:00,14,280000,2025,5,May,4,Sunday,10,1,20000.0,Tinggi,0
15,TERUSAN III ( Free-Pass III ),TERUSAN,2025-05-04 10:09:00,1,25000,2025,5,May,4,Sunday,10,1,25000.0,Sangat Rendah,0
16,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-05-04 10:05:00,5,125000,2025,5,May,4,Sunday,10,1,25000.0,Rendah,0
17,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-05-04 09:22:00,2,50000,2025,5,May,4,Sunday,9,1,25000.0,Sangat Rendah,0
18,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-05-04 09:16:00,2,40000,2025,5,May,4,Sunday,9,1,20000.0,Sangat Rendah,0
19,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-05-04 09:05:00,2,50000,2025,5,May,4,Sunday,9,1,25000.0,Sangat Rendah,0
20,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-05-04 08:17:00,3,75000,2025,5,May,4,Sunday,8,1,25000.0,Rendah,0
21,TIKET WISATAWAN UMUM,Umum,2025-05-04 07:59:00,3,45000,2025,5,May,4,Sunday,7,1,15000.0,Rendah,0
22,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-05-04 07:58:00,2,50000,2025,5,May,4,Sunday,7,1,25000.0,Sangat Rendah,0
23,TIKET WISATAWAN UMUM,Umum,2025-05-03 11:08:00,10,150000,2025,5,May,3,Saturday,11,1,15000.0,Sedang,0
24,TIKET MANCANEGARA,Mancanegara,2025-05-03 11:07:00,2,40000,2025,5,May,3,Saturday,11,1,20000.0,Sangat Rendah,0
25,Tiket Masuk Museum Pusaka,Umum,2025-05-03 11:07:00,2,30000,2025,5,May,3,Saturday,11,1,15000.0,Sangat Rendah,0
26,TERUSAN III ( Free-Pass III ),TERUSAN,2025-05-03 11:07:00,12,300000,2025,5,May,3,Saturday,11,1,25000.0,Tinggi,0
27,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-05-03 11:06:00,9,180000,2025,5,May,3,Saturday,11,1,20000.0,Sedang,0
28,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-05-03 11:06:00,35,700000,2025,5,May,3,Saturday,11,1,20000.0,Tinggi,0
